draw,gpp,lai_mean,lai_max,ceff,lma,f_auto,c_fol_0,f_fol,f_lab,d_onset,cr_onset,cr_fall,c_lf
49,2884.824437173145,6.551530747685241,15.814299019597964,65.93823566788703,156.47865835855276,0.6959973354278004,1463.475586697113,0.005789202549934654,0.03778686114071542,266.7558603832513,63.97369139797923,127.24501167504371,0.22186999952308456
50,3148.0598799696686,7.871466496514354,9.748125387981903,78.63751275963695,208.3571892101803,0.548226772798187,243.45177185771732,0.05793342272652424,0.047964902144758126,68.42381015286288,85.46353908797833,45.93768796671185,0.20120321178658765
51,3057.4130519266328,12.652901167290942,14.464467730810235,30.65149706595789,230.80385118340536,0.332935738650393,1642.9471822741993,0.2293344492911892,0.12116958114001837,75.82408622630325,49.41002525382771,96.23627971233618,0.2558771402000577
52,2797.409825876179,4.628847494070266,6.23890173273513,62.116646730159495,187.15658593461734,0.6636643174297646,731.9276084370588,0.05819009262003423,0.03503358449619073,116.1181194668908,16.203618184342616,74.19152635264018,0.2782400901874199
53,3073.1561744075743,6.60802435546334,9.396244949736326,74.08060385175854,174.92888621682184,0.5579839239373391,912.3384730672947,0.03979848741227439,0.07830871488373463,167.4435142674895,48.126420733932775,121.25537514732817,0.26014958747088784
54,3241.405500059412,11.754081462219041,12.995326735727854,74.4966926789053,155.90353940101681,0.3740239507462048,1745.769421423455,0.08183913370062136,0.10229754657620976,50.37951216537344,36.201468655485705,38.12325531686672,0.2672820521299646
56,2689.3897549566304,13.197977155610054,16.102929889078165,14.022444564551721,150.2857419504454,0.3105068666662584,140.29429746853964,0.1376117466645836,0.1311419652622361,42.42305345529242,15.86334726554691,116.5059768896023,0.24595565104975026
57,2345.131060903391,7.560899961394312,8.476512047584196,18.09044581477636,198.97770602944644,0.46178724232633656,1343.838388473239,0.14972110816714043,0.05100413218178666,271.01712507958024,35.4434499983077,68.22307534337422,0.26494116979242077
58,3058.0498962632287,12.503675560130931,14.862608763829103,38.42846178652255,153.52271907336737,0.379069720038984,260.5462915959141,0.13173043069055834,0.10165718646844743,220.9533256094803,70.80286622439102,79.12967864105681,0.2901466316080602
59,2287.9817975566657,4.454883226030459,5.478840912113215,30.869357745309024,211.81721444808377,0.44192518702888284,826.4287604662251,0.04909660559678971,0.07891342195051805,350.1004357045311,52.047696470945915,59.45093086055284,0.244688644153857
